,9,10,11,12,13,14,15,16
0,5996,6415,7786,15984,45681,69931,113605,139781
1,1600,3479,7664,27863,42511,77880,127331,126542
2,1526,3658,9237,23905,48755,70270,125095,122399
3,1604,3474,9931,18231,38583,79790,129589,129396
4,1507,4934,11153,30281,34090,68601,114656,122221
5,1675,3454,13494,16500,31837,73230,125557,106739
6,1505,6985,8594,14862,37408,75251,128772,128599
7,2039,4223,7586,29043,46153,69809,117920,107849
8,1507,3680,11846,14214,36553,86196,123695,138324
9,1507,5540,8572,15762,49463,76493,109202,122572
10,1603,3470,7795,22995,41723,70251,118581,139172
11,1507,4455,8617,20496,30255,78200,111443,125957
12,1503,3681,12280,30907,30197,68661,119251,119143
13,1601,3487,17219,16555,31872,81645,129798,111423
14,1608,4326,9237,16025,33033,75354,116766,107562
15,1516,4266,15367,15634,42183,69355,108485,134155
